claim_id,chunk_id,url,title,magazine,date,claim,company,token_count
7cc594c85f8f311a7df4e5474f01cfcd57974b9cdc3a0dc176e3fb92ccbf7328_12_17_claim,7cc594c85f8f311a7df4e5474f01cfcd57974b9cdc3a0dc176e3fb92ccbf7328_12_17,https://www.neimagazine.com/news/iaea-chief-highlights-importance-of-brazil-to-global-nuclear-sector,IAEA chief highlights importance of Brazil to global nuclear sector,Nuclear Engineering International,1719532800000,Brazil's national energy plan considers adding another 10 GWe of nuclear in the next 30 years and the possibility of including small modular reactors in the energy mix after 2030.,,35
7cc594c85f8f311a7df4e5474f01cfcd57974b9cdc3a0dc176e3fb92ccbf7328_18_22_claim,7cc594c85f8f311a7df4e5474f01cfcd57974b9cdc3a0dc176e3fb92ccbf7328_18_22,https://www.neimagazine.com/news/iaea-chief-highlights-importance-of-brazil-to-global-nuclear-sector,IAEA chief highlights importance of Brazil to global nuclear sector,Nuclear Engineering International,1719532800000,The IAEA is also supporting the Brazilian Navy to increase medical services for remote communities in the Amazon River delta with two mammography machines.,"['ABACC', 'IAEA']",27
7cc594c85f8f311a7df4e5474f01cfcd57974b9cdc3a0dc176e3fb92ccbf7328_23_23_claim,7cc594c85f8f311a7df4e5474f01cfcd57974b9cdc3a0dc176e3fb92ccbf7328_23_23,https://www.neimagazine.com/news/iaea-chief-highlights-importance-of-brazil-to-global-nuclear-sector,IAEA chief highlights importance of Brazil to global nuclear sector,Nuclear Engineering International,1719532800000,The IAEA established the Instituto de Pesquisas Energéticas e Nucleares (IPEN-CNEN) as the first Collaborating Centre on Nuclear Security in Latin America.,"['IAEA', 'IPEN-CNEN']",36
a9982bd012290649c764add26ac8196f2395a9adc5d656b9a42e72196f6e3be2_52_61_claim,a9982bd012290649c764add26ac8196f2395a9adc5d656b9a42e72196f6e3be2_52_61,https://www.neimagazine.com/news/opg-expands-clean-energy-funding-with-new-sustainable-finance-framework,OPG expands clean energy funding with new Sustainable Finance Framework,Nuclear Engineering International,1719792000000,Ontario Power Generation plans to construct up to four Small Modular Reactors (SMRs) as part of the Darlington New Nuclear project.,"['Ontario Power Generation', 'BMO', 'RBC Capital Markets']",26
772f934f1e18241cf0664d27eccc2c5945244665d9cfe55c98277396df144a12_62_65_claim,772f934f1e18241cf0664d27eccc2c5945244665d9cfe55c98277396df144a12_62_65,https://www.neimagazine.com/news/arc-clean-energy-canada-restructures-as-ceo-departs,ARC Clean Energy Canada restructures as CEO departs,Nuclear Engineering International,1719878400000,"ARC completed a second phase of a vendor design review with the Canadian Nuclear Safety Commission, which represents a deep investigation into the company’s technology design and plans.","['ARC', 'Canadian Nuclear Safety Commission']",32
772f934f1e18241cf0664d27eccc2c5945244665d9cfe55c98277396df144a12_66_67_claim,772f934f1e18241cf0664d27eccc2c5945244665d9cfe55c98277396df144a12_66_67,https://www.neimagazine.com/news/arc-clean-energy-canada-restructures-as-ceo-departs,ARC Clean Energy Canada restructures as CEO departs,Nuclear Engineering International,1719878400000,"The ARC-100 SMR is a 100 MWe sodium-cooled fast reactor selected by NB Power for implementation at Point Lepreau, with a completion schedule within a decade.","['NB Power', 'GE-Hitachi']",36
81dadf6fd3a3c20f44f4ef295afb8f56ef0d99c76a9cf61dc437da416e286e4c_80_85_claim,81dadf6fd3a3c20f44f4ef295afb8f56ef0d99c76a9cf61dc437da416e286e4c_80_85,https://www.neimagazine.com/news/us-doe-funds-power-utilities-to-undertake-nuclear-feasibility-study,US DOE funds power utilities to undertake nuclear feasibility study,Nuclear Engineering International,1719878400000,"The Ghent site is suitable for a nuclear small modular reactor (SMR) plant, but would have potential size constraints for a larger nuclear reactor.","['PPL', 'LG&E', 'KU', 'X-Energy']",30
81dadf6fd3a3c20f44f4ef295afb8f56ef0d99c76a9cf61dc437da416e286e4c_86_87_claim,81dadf6fd3a3c20f44f4ef295afb8f56ef0d99c76a9cf61dc437da416e286e4c_86_87,https://www.neimagazine.com/news/us-doe-funds-power-utilities-to-undertake-nuclear-feasibility-study,US DOE funds power utilities to undertake nuclear feasibility study,Nuclear Engineering International,1719878400000,"Nuclear energy is a carbon-free solution that has the potential to meet our customers’ needs and support manufacturing and data center growth, particularly if technology such as nuclear small modular reactors become more cost-competitive.",[],41
db93c35e3ec2f58b4fb9f18195028067c75397dbfeb5cfb847122b68181c672f_143_147_claim,db93c35e3ec2f58b4fb9f18195028067c75397dbfeb5cfb847122b68181c672f_143_147,https://www.neimagazine.com/news/uzbekistans-first-smr-nuclear-plant-to-begin-construction-in-september,Uzbekistan’s first SMR nuclear plant to begin construction in September,Nuclear Engineering International,1719878400000,Rosatom's first export order for a SMR will be in the ASMM project.,"['Rosatom', 'Atomstroyexport', 'UzAtom Atomic Energy Agency']",19
db93c35e3ec2f58b4fb9f18195028067c75397dbfeb5cfb847122b68181c672f_148_148_claim,db93c35e3ec2f58b4fb9f18195028067c75397dbfeb5cfb847122b68181c672f_148_148,https://www.neimagazine.com/news/uzbekistans-first-smr-nuclear-plant-to-begin-construction-in-september,Uzbekistan’s first SMR nuclear plant to begin construction in September,Nuclear Engineering International,1719878400000,Uzbekistan signed an agreement with Rosatom to construct two VVER-1200 pressurised water reactors,['Rosatom'],21
