company,SUPPORT,CONTRADICT,NEI
A3D,,,1.0
ABB,,,1.0
ABS,1.0,,3.0
ACC,,,1.0
ACU,,,2.0
ADCB,,,1.0
AECL,1.0,,6.0
AECOM,,,2.0
AEM-Spetsstal,,,2.0
AFCEN,,,1.0
AFCONE,,,1.0
AMG,,,2.0
ANDRA,,,4.0
ANL,,,3.0
ANSTO,,,2.0
ANVS,,,1.0
ANYbotics,,1.0,
AP1000,,,1.0
ARC Canada,6.0,1.0,25.0
ARN,2.0,1.0,4.0
ASE,7.0,1.0,8.0
ASN,,,5.0
AWS,,,1.0
Abu Dhabi Commercial Bank,,,1.0
Aecon,5.0,,6.0
Aerojet Rocketdyne,,,1.0
Air Products,,,1.0
Akkuyu,,1.0,2.0
Alfa Laval,,,1.0
Allegheny Electric,,,1.0
Alleima,1.0,,
AlleyCorp,,,1.0
"Alsintec, ",,,1.0
AltC,,,1.0
Altrad Endel,1.0,,
Amazul,,,1.0
Amcham,,,1.0
Amentum,2.0,,1.0
American Bureau of Shipping (ABS),1.0,,5.0
American Centrifuge Operating,,,1.0
Amsted Graphite Materials,,,1.0
Andreessen Horowitz,1.0,,
Ansaldo Energia,,,4.0
Ansaldo Nucleare,1.0,1.0,18.0
Arabelle Solutions,,,2.0
Arch Henderson,,,1.0
Ares,3.0,,2.0
Areva,3.0,,7.0
Argentine Neutron Beam Laboratory (LAHN),,,1.0
Argonne National Laboratory,,1.0,8.0
Arthur D. Little,,,1.0
Assystem,2.0,,9.0
Astrobotic,,,1.0
At One Ventures,,,1.0
AtkinsRéalis,3.0,,11.0
Atomenergomash,1.0,,15.0
Atomenergoremont,,,6.0
Atomflot,,,1.0
Atomics International,,,1.0
Atommash,,,5.0
Atomspetsservice,,,1.0
Atomstroyexport,1.0,,7.0
Atos,,,1.0
Austin Energy,8.0,3.0,64.0
Axpo,,,2.0
BAKS,,,1.0
BAM Nuttall,3.0,,4.0
BARC,,,1.0
BESIX,,,1.0
BGE,,,6.0
BHEL,,,1.0
BHP,,,1.0
BHR,,,2.0
BKW (formerly Bernische Kraftwerke),,,1.0
BLF,,,1.0
BN-1200M,,1.0,
BNDES,,,1.0
BNFL,,1.0,1.0
BREST-OD-300,,1.0,
BRIN,,,1.0
BT Pension Scheme,,,1.0
BWRX,,,1.0
BWXT,4.0,,25.0
Babcock,,,2.0
Balfour Beatty,2.0,1.0,5.0
Bauer Hungary Ltd.,,,1.0
Bayern Kapital,,,1.0
Bechtel,3.0,,28.0
Belenergo,,,1.0
Belledune Port Authority,,,1.0
Betavolt,,,1.0
Bhavini,,,1.0
Bilfinger Peters Engineering,,,1.0
Bionomics,,,1.0
Blue Capsule,,,2.0
Blue Origin,,,1.0
Blue Wave,,,1.0
Blykalla,,,2.0
Boeing,,,2.0
Bouygues Travaux Publics,,,2.0
Bpifrance,,1.0,3.0
Branislav Strýček,,,1.0
Brazilian Navy,,,1.0
Britain Remade,,,1.0
British Nuclear Fuels Limited,,,2.0
Brookfield Renewable,1.0,,3.0
Bruce Power,10.0,,21.0
Bryden Wood,,,2.0
Building Trades of Alberta,,,1.0
Bularmex-IK JSCo,,,1.0
Bundesanstalt für Geowissenschaften und Rohstoffe,,,1.0
Bureau Veritas Bulgaria,,,1.0
Burns & McDonnell,,,2.0
CAMMESA,,,1.0
CCTE,,,1.0
CEA,3.0,,10.0
