company,SUPPORT,NEI,CONTRADICT
3M Company,,1.0,
AA Bochvar Research Institute of Inorganic Materials (VNIINM),,1.0,
ABS,,2.0,
ACC,,1.0,
ADCB,,1.0,
AECL,,8.0,
AECOM,,2.0,
AEM-Spetsstal,,3.0,
AFCEN,,1.0,
AFV Beltrame Group,,2.0,
ALD Vacuum Technologies,,1.0,
AMG,,2.0,
AMG Critical Materials,,1.0,
AP1000,,2.0,1.0
AQ Rate,,1.0,
ARC,5.0,24.0,1.0
ARN,,1.0,
ASN,1.0,1.0,
Aalborg,,1.0,
Abu Dhabi Commercial Bank,,1.0,
Accelerant Solutions,,2.0,
Aecom Europe and India,,1.0,
Aecon,3.0,11.0,
Aecon Group,1.0,1.0,
Akkuyu NPP,,1.0,
Alberta Innovates,1.0,2.0,
Alfa Laval,,2.0,
Alleima,1.0,,
"Alpha Safety Holdings, LLC",,1.0,
American Bureau of Shipping (ABS),,3.0,
American Crane,,1.0,
American Nuclear Society,,1.0,
American Nuscale,,1.0,
Amsted Graphite Materials,,4.0,
Analysis and Measurement Services Corporation,,1.0,
Anglia Water,,2.0,
Ansaldo,,1.0,
Ansaldo Energia,1.0,4.0,
Ansaldo Nucleare,1.0,16.0,
Appalachian Power Company,,1.0,
Arabelle Solutions,,2.0,
Ares,1.0,2.0,
Ares Acquisition Corporation,1.0,2.0,
Ares Management Corporation,1.0,2.0,
Areva,,2.0,
"Areva (now part of Framatome, which developed the EPR)",,1.0,
Areva NP,,1.0,
Areva SA,,3.0,
Argonne National Laboratory,,1.0,
Arthur D. Little,,1.0,
Associated Electric Cooperative Inc.,,1.0,
Associazione Italiana Nucleare,,,1.0
Assystem,5.0,6.0,
Atkins,5.0,3.0,
Atkins UK and Europe,,1.0,
AtkinsRéalis,,4.0,
Atomenergomash,,2.0,
Atomic Energy Canada Ltd. (AECL),,2.0,
Atomic Energy of Canada Limited,1.0,3.0,
Atomredmetzoloto JSC,,2.0,
Atomstroyexport,,1.0,
Axpo Power AG,,1.0,
B&W,,1.0,
BAA Plc,,1.0,
BAE Systems,,3.0,
BAM Infra Netherlands,1.0,,
BHEL,,2.0,
BHP,,1.0,
BHR,,1.0,
BKW Energie AG,,1.0,
BNF Resources,1.0,,
BNFL Instruments LTD,,1.0,
BT Pension Scheme,,1.0,
BWRX,,1.0,
BWXT,1.0,12.0,1.0
BWXT Advanced Technologies,,1.0,
BWXT Canada Ltd,2.0,3.0,
BWXTCANADA,1.0,,
Babcock,,3.0,
Babcock International group,1.0,3.0,
Baker Hughes,,,1.0
Balfour,,1.0,
Balfour Beatty,1.0,10.0,1.0
Baltic Operator (Grupa Przemyslowa Baltic),,1.0,
Bam,,1.0,
Bam Nuttall,4.0,4.0,
Battelle Energy Alliance,1.0,4.0,
Battelle Memorial Institute,,1.0,1.0
Bechtel,2.0,16.0,2.0
Bechtel Corporation,,1.0,
Belledune Port Authority,,1.0,
Berkshire Hathaway,,1.0,
Bionomics,,1.0,
Blue Capsule,,2.0,
Blykalla,1.0,3.0,
Boeing,,2.0,
Bpifrance,,2.0,
Britain Remade,,1.0,
British Nuclear Fuels Limited,,1.0,
British Roll Royce,,1.0,
Brookfield,,2.0,
Bruce C,,,1.0
Bruce Power,2.0,12.0,
Bryden Wood,,2.0,
Building Trades of Alberta,,1.0,
Burns & McDonnell,,1.0,
C&EN,,1.0,
C5 Capital,,2.0,
CANDU Reactor division,,1.0,
CAREM,,1.0,
CASMR,,1.0,
CCC,,,1.0
CEA,1.0,7.0,
CERCA,,,1.0
CEZ,3.0,16.0,2.0
CFPP LLC,,2.0,
CGN,2.0,2.0,
CIC,,1.0,
