Company,Merged with,Number of Claims Belonging to that Company Before Merge
Rolls-Royce,Rolls-Royce SMR,119
GE Hitachi,GE-Hitachi,59
GE Hitachi Nuclear Energy,GE-Hitachi Nuclear Energy,55
Rolls Royce,Rolls-Royce SMR,26
Newcleo,newcleo,22
Ontario Power Generation (OPG),Ontario Power Generation,22
Synthos Green Energy,Orlen Sythnos Green Energy,21
Westinghouse Electric Company,Westinghouse Electric Company UK,19
Nuscale,NuScale,18
ENEC,Enec,17
Korea Hydro & Nuclear Power (KHNP),Korea Hydro & Nuclear Power,15
Orlen Synthos Green Energy,Orlen Sythnos Green Energy,11
X-Energy,X-energy,11
Thorizon,Therizon,10
Tennessee Valley Authority,Tennessee Authority Valley,9
Emirates Nuclear Energy Corporation (ENEC),Emirates Nuclear Energy Corporation (Enec),9
GE Hitachi Nuclear Energy (GEH),GE-Hitachi Nuclear Energy,8
Terrapower,TerraPower,8
ARC Clean Technology Canada,ARC Clean Technology,8
China National Nuclear Corporation,China National Nuclear Corporation (CNNC),7
KGHM Polska Miedź,KGHM Polska Miedz,7
Kinectrics,Kinectrics Inc,7
ZE PAK,Ze Pak,6
Rolls Royce SMR,Rolls-Royce SMR,6
Kepco E&C,KEPCO E&C,6
Ultra Safe Nuclear Corporation (USNC),Ultra Safe Nuclear Corporation,5
Teollisuuden Voima Oyj,Teollisuuden Voima Oyj (TVO),5
Nucleareurope,nucleareurope,4
TRISO-X,Triso-X,4
Enea,ENEA,4
Slovenské elektrárne,Slovenske Elektrarne,4
BAM Nuttall,Bam Nuttall,4
Hyundai,HD Hyundai,4
US Department of Energy (DOE),US Department of Energy,4
Utah Associated Municipal Power Systems,Utah Associated Municipal Power Systems (Uamps),4
China Huaneng,China Huaneng Group,4
US Nuclear Regulatory Commission (NRC),US Nuclear Regulatory Commission,4
X-Energy Reactor Company,X-energy Reactor Company,4
BWXT Canada,BWXT Canada Ltd,4
Orlen Synthos Green Energy (OSGE),Orlen Sythnos Green Energy,3
Polskie Elektrownie Jądrowe,Polskie Elektrownie Jadrowe (PEJ),3
European Investment Bank,European Investment Bank (EIB),3
Core Power,CORE POWER,3
Slovenské Elektrárne (SE),Slovenske Elektrarne,3
China National Nuclear Power (CNNP),China National Nuclear Power,3
Babcock International,Babcock International group,3
UAMPS,Uamps,3
KGHM Polska Miedź SA,KGHM Polska Miedz,3
Nuclear Decommissioning Authority,Nuclear Decommissioning Authority (NDA),3
ThorCon,Thorcon,3
Utah Associated Municipal Power Systems (UAMPS),Utah Associated Municipal Power Systems (Uamps),3
Korea Hydro & Nuclear Power Co,Korea Hydro & Nuclear Power,2
Hyundai Engineering and Construction,Hyundai Engineering & Construction,2
Balfour Beatty Group,Balfour Beatty,2
HD Korea Shipbuilding & Offshore Engineering (KSOE),HD Korea Shipbuilding & Marine Engineering,2
New Brunswick Power (NB Power),New Brunswick Power,2
Mott Macdonald,Mott MacDonald,2
GS Engineering & Construction,Kepco Engineering & Construction,2
Ultra Safe Nuclear Corporation UK,Ultra Safe Nuclear Corporation,2
Great British Nuclear (GBN),Great British Nuclear,2
ORLEN Synthos Green Energy (OSGE),Orlen Sythnos Green Energy,2
Idaho National Laboratory,Idaho National Laboratory (INL),2
SN Nuclearelectrica,Nuclearelectrica,2
NAAREA,Naarea,2
Silex Systems Ltd,Silex Systems,2
Samsung Heavy Industries (SHI),Samsung Heavy Industries,2
NUWARD,Nuward,2
Ansaldo Energia Group,Ansaldo Energia,2
RATEN,Raten,2
Lightbridge Fuel,Lightbridge,2
CNNC Hainan Nuclear Power Company,Hainan Nuclear Power Company,2
Westinghouse Electric Company UK Limited,Westinghouse Electric Company UK,2
Kuopion Energia,Kuopio Energy,2
US Nuclear Energy Institute,Nuclear Energy Institute,2
Polskie Elektrownie Jadrowe,Polskie Elektrownie Jadrowe (PEJ),2
ENTRA1,Entra1,2
Naarea SA,Areva SA,2
The Electric Power Research Institute,Electric Power Research Institute,2
US Export-Import Bank,US Export-Import (Exim) Bank,2
Electric Power Research Institute (EPRI),Electric Power Research Institute,2
Invest Alberta,Alberta Innovates,2
Electricité de France (EDF),Electricité de France,2
Candu Energy,X-Energy Canada,2
Polskie Elektrownie Jądrowe (PEJ),Polskie Elektrownie Jadrowe (PEJ),1
Nucleoelectrica,Nuclearelectrica,1
Westinghouse Electric Company (WEC),Westinghouse Electric Company UK,1
Onatrio Power Generation,Ontario Power Generation,1
Office for Nuclear Regulation (ONR),Office for Nuclear Regulation,1
Kärnfull Next AB,Kärnfull Next,1
KGM Polska Miedź SA,KGHM Polska Miedz,1
Sokolovská uhelná,Sokolovska Uhelna,1
EIB (European Investment Bank),European Investment Bank (EIB),1
Centrus Energy Corp,Centrus Energy,1
Orlen Sythnos Green Energy (OSGE),Orlen Sythnos Green Energy,1
European Bank for Reconstruction and Development (EBRD),European Bank for Reconstruction and Development,1
GE Nuclear Energy,GE-Hitachi Nuclear Energy,1
PLN Indonesia Power,Indonesia Power,1
US-based Westinghouse Electric,Westinghouse Electric,1
China National Nuclear Coorporation,China National Nuclear Corporation (CNNC),1
GE-Hitachi (GEH),GE-Hitachi,1
ZEB PAK,Ze Pak,1
Elektrarna Dukovany II,Elektrárna Dukovany II,1
Canadian Nuclear Safety Commission,Canadian Nuclear Safety Commission (CNSC),1
Rolls-Royce SMR A,Rolls-Royce SMR,1
Westinghouse Electric Company UK Ltd,Westinghouse Electric Company UK,1
Westinghouse UK,Westinghouse,1
Atomredmetzoloto,Atomredmetzoloto JSC,1
Nuclear Power Corporation of India Ltd.,Nuclear Power Corporation of India Ltd,1
MMC Norilsk Nickel,Norilsk Nickel,1
Nova Power and Gas,Nova Power & Gas,1
Nuclear Power Corporation of India Limited (NPCIL),Nuclear Power Corporation of India Ltd,1
American Bureau of Shipping,American Bureau of Shipping (ABS),1
Community Nuclear Power (CNP),Community Nuclear Power,1
Sargeant & Lundy,Sargent & Lundy,1
HATCH,Hatch,1
Westinghouse EC,Westinghouse,1
Ontario Power Generation’s (OPG),Ontario Power Generation,1
UK Nuclear Industry Association,Nuclear Industry Association,1
Ontario Power Generations (OPG),Ontario Power Generation,1
Nuclearelectrica SA,Nuclearelectrica,1
PCL Nuclear Management,PCL Nuclear Management Inc,1
Korea Atomic Industrial Forum,Japan Atomic Industrial Forum,1
POSCO E&C,Posco E&C,1
Nuclear Industry Association (NIA),Nuclear Industry Association,1
French Alternative Energies & Atomic Energy Commission (CEA),French Alternative Energies and Atomic Energy Commission,1
Peregrine Turbine Technologies,Peregrine Turbine Technologies (PTT),1
Steedy Energy,Steady Energy,1
Nuclear Regulatory Commission (NRC),US Nuclear Regulatory Commission,1
Atkins Nuclear & Power,Nuclear Power Ghana,1
Ultra Safe Nuclear Corp.,Ultra Safe Nuclear Corporation,1
X Energy,X-energy,1
Regnum Technology Group LLC,Regnum Technology Group,1
GE-Hitachi Nuclear,GE-Hitachi Nuclear Energy,1
Ontario Power Generation Inc,Ontario Power Generation,1
RoPower Nuclear S.A.,RoPower Nuclear,1
National Nuclear Laboratory (NNL),National Nuclear Laboratory,1
Halden Kjernekraft,Halden Kjernekraft AS,1
Korea Electric Power Corporation (Kepco),Korea Electric Power Corporation,1
Anglian Water,Anglia Water,1
Export-Import Bank (EXIM),US Export-Import (Exim) Bank,1
DOE (Department of Energy),Department of Energy,1
Techint Engineering & Construction,Kepco Engineering & Construction,1
Nuclear Energy Agency (NEA),OECD-Nuclear Energy Agency,1
Cenovus Energy,Centrus Energy,1
Nuclear Power Ghana (NPG),Nuclear Power Ghana,1
GE-Hitachi Nuclear Energy International ,GE-Hitachi Nuclear Energy International,1
Jordan Atomic Energy Commission (JAEC),Ghana Atomic Energy Commission,1
RATEN ICN,RATEN-ICN,1
Research Centre Jülich,Joint Research Centre,1
China National Nuclear Power Co,China National Nuclear Power,1
US Tennessee Authority Valley (TVA),Tennessee Authority Valley,1
Global Laser Enrichment (GLE),Global Laser Enrichment,1
Mirion Technologies,Onet Technologies,1
GE HItachi,GE-Hitachi,1
Kepco Nuclear Fuel (KNF),Kepco Nuclear Fuel,1
Hyundai Engineering & Construction (HEC),Hyundai Engineering & Construction,1
KGHM Polska Miedżed SA,KGHM Polska Miedz,1
Rusatom Energy Projects,Rosatom Energy Projects,1
Japan Atomic Energy Agency (JAEA),Japan Atomic Energy Agency,1
US NuScale Power,NuScale Power,1
DB Energy,EDF Energy,1
Societatea Naționala Nuclearelectrica (SNN),Societatea Națională Nuclearelectrica,1
Slovenské Elektrárne,Slovenske Elektrarne,1
Societatea Naționala Nuclearelectrica,Societatea Națională Nuclearelectrica,1
GE Hitachi (GEH),GE-Hitachi,1
BWXTechologies,BWX Technologies,1
Ansaldo Nuclear,Ansaldo Nucleare,1
Department of Atomic Energy,Department of Energy,1
SRS. Servizi Ricerche e Sviluppo,SRS Servizi Ricerche e Sviluppo,1
International Atomic Energy Agency (IAEA),International Atomic Energy Agency,1
Global Nuclear Fuel-Americas,US-based Global Nuclear Fuel-Americas,1
GE-Hitachi Nuclear Energy International LLC,GE-Hitachi Nuclear Energy International,1
Nuclear Power Corporation of India Ltd (NPCIL),Nuclear Power Corporation of India Ltd,1
General Electric (GEH),General Electric,1
Northwest Energy,Energy Northwest,1
HD Korea Shipbuilding & Offshore Engineering,HD Korea Shipbuilding & Marine Engineering,1
S.N. Nuclearelectrica,Nuclearelectrica,1
Samsung C&T Corp,Samsung C&T Corporation,1
Korea Hydro and Nuclear Power,Korea Hydro & Nuclear Power,1
Terrestrial Energy USA,Terrestrial Energy,1
Atomic Energy of Canada Ltd.,Atomic Energy of Canada Limited,1
