company,Percentage of Verifiability,Percentage of NEI Claims,cluster
NuScale,0.0,76.35135135135135,0
Westinghouse,3.4482758620689653,81.77339901477832,0
Rolls-Royce SMR,6.770833333333332,69.27083333333334,0
EDF,7.042253521126762,84.50704225352112,0
GE-Hitachi,7.801418439716311,72.3404255319149,0
X-Energy,13.274336283185843,76.10619469026548,0
Holtec,0.0,88.46153846153845,0
Ontario Power Generation,15.789473684210524,73.68421052631578,0
Rosatom,-1.0638297872340425,90.42553191489363,0
TerraPower,1.587301587301587,85.71428571428571,0
Great British Nuclear,11.428571428571427,77.14285714285715,0
USNC,12.5,87.5,0
Doosan Enerbility,3.225806451612904,83.87096774193549,0
ARC,13.33333333333333,80.0,0
Nuclearelectrica,6.25,87.5,0
newcleo,53.65853658536586,41.46341463414634,1
Dow,28.125,65.625,2
Orlen Sythnos Green Energy,22.500000000000004,67.5,2
GE-Hitachi Nuclear Energy,24.285714285714285,61.42857142857143,2
