company,Percentage of Verifiability,Percentage of NEI Claims,cluster
GE-Hitachi,9.677419354838706,73.54838709677419,0
X-Energy,13.533834586466165,74.43609022556392,0
Rolls-Royce SMR,8.823529411764705,67.64705882352942,0
Ontario Power Generation,12.605042016806724,75.63025210084034,0
GE-Hitachi Nuclear Energy,28.94736842105263,60.526315789473685,0
Orlen Sythnos Green Energy,25.0,65.0,0
Bruce Power,20.754716981132077,75.47169811320755,0
Korea Hydro & Nuclear Power,13.043478260869565,78.26086956521739,0
Fortum,17.02127659574468,70.2127659574468,0
Jacobs,19.354838709677416,74.19354838709677,0
Dow,27.272727272727273,66.66666666666666,0
ARC,16.666666666666668,76.66666666666667,0
Teollisuuden Voima Oyj (TVO),3.225806451612904,70.96774193548387,0
Oklo,16.666666666666664,72.22222222222221,0
TVEL,1.0526315789473673,86.31578947368422,1
Westinghouse,2.0361990950226243,81.67420814479638,1
USNC,5.333333333333334,86.66666666666667,1
Rosenergoatom,4.0,80.0,1
Energoatom,-11.688311688311687,83.11688311688312,1
TerraPower,5.434782608695652,83.69565217391305,1
Korea hydro and Nuclear Power (KHNP),3.174603174603174,87.3015873015873,1
Urenco,-3.389830508474577,93.22033898305084,1
China National Nuclear Corporation (CNNC),-1.4492753623188408,86.95652173913044,1
Orano,2.8985507246376807,94.20289855072464,1
CEZ,0.0,88.0,1
Moltex,3.846153846153845,76.92307692307693,1
Bechtel,4.347826086956522,82.6086956521739,1
Holtec,-1.5267175572519083,89.31297709923665,1
Framatome,0.6493506493506489,90.25974025974025,1
EDF,2.4316109422492396,79.33130699088146,1
NuScale,1.677852348993289,75.50335570469798,1
Rosatom,10.824742268041238,80.9278350515464,1
Terrestrial Energy,6.25,81.25,1
Akkuyu Nukleer JSC,13.157894736842104,86.8421052631579,1
BWXT,4.545454545454545,90.9090909090909,1
Nuclearelectrica,12.5,87.5,1
Doosan Enerbility,4.3478260869565215,86.95652173913044,1
China National Nuclear Corporation,12.121212121212121,87.87878787878788,1
Cameco,5.405405405405406,89.1891891891892,1
Great British Nuclear,8.57142857142857,80.0,1
Georgia Power,-3.225806451612902,77.41935483870968,1
Vattenfall,6.25,81.25,1
Sellafield Ltd,-9.090909090909092,90.9090909090909,1
Tepco,-3.125,96.875,1
Tractebel,10.0,83.33333333333334,1
newcleo,46.93877551020408,48.97959183673469,2
