company,Percentage of Verifiability,Percentage of NEI Claims,cluster
GE-Hitachi Nuclear Energy,21.05263157894737,63.1578947368421,0
Fortum,17.02127659574468,70.2127659574468,0
Orlen Sythnos Green Energy,22.500000000000004,67.5,0
Bruce Power,20.754716981132077,75.47169811320755,0
newcleo,38.775510204081634,57.14285714285714,0
Oklo,16.666666666666664,72.22222222222221,0
Dow,24.24242424242424,69.6969696969697,0
Rosatom,10.48109965635739,81.27147766323024,1
X-Energy,11.278195488721803,75.18796992481202,1
Moltex,1.9230769230769216,78.84615384615384,1
Korea Hydro & Nuclear Power,11.594202898550725,82.6086956521739,1
Akkuyu Nukleer JSC,13.157894736842104,86.8421052631579,1
Ontario Power Generation,14.285714285714286,78.99159663865547,1
Rosenergoatom,2.666666666666666,78.66666666666666,1
GE-Hitachi,7.096774193548388,74.83870967741936,1
NuScale,-1.0067114093959741,76.1744966442953,1
Teollisuuden Voima Oyj (TVO),3.225806451612904,70.96774193548387,1
Jacobs,16.129032258064516,77.41935483870968,1
Georgia Power,-3.225806451612902,77.41935483870968,1
Vattenfall,0.0,81.25,1
Terrestrial Energy,6.25,81.25,1
Great British Nuclear,8.57142857142857,80.0,1
Rolls-Royce SMR,5.882352941176471,69.6078431372549,1
ARC,13.33333333333333,80.0,1
USNC,6.666666666666667,88.0,2
Energoatom,-7.792207792207791,84.4155844155844,2
TVEL,1.0526315789473673,86.31578947368422,2
TerraPower,2.1739130434782608,84.78260869565217,2
Holtec,-1.5267175572519078,90.83969465648855,2
Westinghouse,2.0361990950226243,83.48416289592761,2
EDF,0.6079027355623108,82.37082066869301,2
Framatome,-0.6493506493506498,91.55844155844156,2
Nuclearelectrica,10.0,90.0,2
BWXT,0.0,90.9090909090909,2
Doosan Enerbility,2.1739130434782608,89.13043478260869,2
Bechtel,2.1739130434782608,84.78260869565217,2
Korea hydro and Nuclear Power (KHNP),3.174603174603174,87.3015873015873,2
China National Nuclear Corporation (CNNC),1.4492753623188408,89.85507246376811,2
Urenco,-3.389830508474577,93.22033898305084,2
CEZ,2.0,86.0,2
Orano,2.8985507246376807,94.20289855072464,2
China National Nuclear Corporation,6.0606060606060606,93.93939393939394,2
Cameco,2.7027027027027026,97.2972972972973,2
Sellafield Ltd,-9.090909090909092,90.9090909090909,2
Tepco,-3.125,96.875,2
Tractebel,6.666666666666666,86.66666666666667,2
