company,NEI,SUPPORT,CONTRADICT
,6.0,1.0,5.0
8VC,1.0,,
92 Capital,1.0,,1.0
92 Ventures,,1.0,1.0
A3F,1.0,,
ABACC,1.0,,
ABB,15.0,10.0,
ABN AMRO,2.0,,
ABN AMRO Bank,2.0,,
ABS,22.0,4.0,
ABWR,1.0,,
ACE,1.0,,
ACP100,7.0,,4.0
ACR-300,2.0,,
ACRS,1.0,,
ACU,1.0,,
ADB,1.0,,
ADNOC,4.0,,
AECL,10.0,1.0,1.0
AECOM,6.0,1.0,1.0
AEM-Special Steels,1.0,,
AEM-Spetstal Metallurgical Plant,1.0,,
AEMO,2.0,,
AEOI,2.0,1.0,
AEP,2.0,,
AES Indiana,1.0,,
AFRY,4.0,1.0,
AFRY Ark Studio,1.0,,
AFRY Management Consulting Oy,1.0,,
AFRY Solutions UK,2.0,,
AFT,2.0,,
ALWR,,,1.0
AMFN,1.0,,
AMR,2.0,,
AMRC,1.0,,
ANAV,1.0,,
ANDE,1.0,,
ANDRA,,2.0,
ANL,3.0,,
ANS,1.0,,
ANSWERS,1.0,,
ANVS,7.0,1.0,
AP Moller-Maersk,4.0,,
AP300,1.0,,2.0
AP600,,,1.0
APR-1400s at Barakah,1.0,,
APR1400,1.0,,1.0
APS,2.0,,
APX,1.0,,
AR,1.0,,1.0
ARC,19.0,1.0,2.0
ARC Clean Technology Canada Inc,1.0,,
ARC Nuclear,2.0,1.0,
ARDP,,1.0,
AREVA,6.0,1.0,1.0
ARK Invest,1.0,,
ARK Venture Fund,1.0,,
ARMZ Uranium Holding Co,1.0,,
ARP,1.0,,
ASEA-Atom,1.0,,
ASHVINI,,1.0,
ASLB,1.0,,
ASN,6.0,,
ASNR,4.0,1.0,
ASP Isotopes,8.0,,2.0
ASPI,3.0,,1.0
ATB,,,1.0
ATCO Gas and Pipelines Ltd.,1.0,,
ATEC,1.0,1.0,
ATI,1.0,,
ATSE,1.0,,
AUDACIA Co-Investissement,1.0,,
AUDACIA Coinvest,1.0,,
"AUKUS (Australia, UK and US)",1.0,,
AWE,5.0,1.0,
AWS,2.0,,
Aalo,14.0,2.0,
Aalo Atomics,15.0,4.0,3.0
Aalo-X,2.0,,
Abilene Christian University,2.0,2.0,1.0
AboitizPower,5.0,,
Accenture,4.0,,
