company,Total Claims,cluster
TerraPower,89.0,0
Korea hydro and Nuclear Power (KHNP),97.0,0
Ontario Power Generation,90.0,0
Korea Hydro & Nuclear Power Corp,67.0,0
Great British Nuclear,69.0,0
GE Vernova,69.0,0
GE Vernova Hitachi,70.0,0
Framatome,71.0,0
Vattenfall,72.0,0
AtkinsRéalis,76.0,0
Great British Energy - Nuclear (GBEN),81.0,0
BWXT,82.0,0
Kairos,84.0,0
Amazon,86.0,0
Steady Energy Oy,88.0,0
CEZ,88.0,0
Blue Energy,62.0,0
Google,66.0,0
Last Energy,60.0,0
TVA,42.0,0
Hitachi,42.0,0
DOE,42.0,0
GE,43.0,0
Urenco,44.0,0
Energy Northwest,44.0,0
Thorizon,44.0,0
OSGE,45.0,0
Amentum,49.0,0
Samsung C&T,51.0,0
Fermi Energia,53.0,0
Orano,57.0,0
Orlen-Synthos Green Energy,57.0,0
Ansaldo Nucleare,41.0,0
Dow,41.0,0
Studsvik,40.0,0
ONR,39.0,0
Russia,38.0,0
Idaho National Laboratory,37.0,0
Helen,36.0,0
Aecon,35.0,0
Lloyd’s Register,35.0,0
Deep Fission,35.0,0
Fortum,35.0,0
Nuclear Industry Association,34.0,0
Meta,34.0,0
Doosan Enerbility,41.0,0
DL Energy,41.0,0
China National Nuclear Corporation (CNNC),41.0,0
Mott McDonald,34.0,0
Tennessee Valley Authority,34.0,0
Hyundai Engineering and Construction Co,33.0,0
Centrica,31.0,0
Microsoft,31.0,0
Kärnfull Next,31.0,0
Cameco,31.0,0
Holtec Britain,31.0,0
SGE,32.0,0
Tractebel,32.0,0
Nuward,32.0,0
Hyundai E&C,32.0,0
US Department of Energy,32.0,0
GBE-N,32.0,0
Constellation,33.0,0
NRC,33.0,0
ENEA,30.0,0
Rolls-Royce SMR,473.0,1
Westinghouse,390.0,1
GE-Hitachi,373.0,1
EDF,242.0,2
Holtec,237.0,2
Oklo,126.0,2
Ontario Power Generation (OPG),145.0,2
NuScale,216.0,2
X-Energy,190.0,2
Norsk Kjernekraft,126.0,2
Blykalla,126.0,2
newcleo,176.0,2
Rosatom,223.0,2
