company,Percentage of Verifiability,Percentage of NEI Claims,cluster
Rolls-Royce SMR,14.587737843551796,62.579281183932345,0
Holtec,12.236286919831223,73.41772151898735,0
Ontario Power Generation (OPG),20.0,64.82758620689654,0
newcleo,10.795454545454545,68.75,0
Ontario Power Generation,8.888888888888888,64.44444444444444,0
Great British Energy - Nuclear (GBEN),8.641975308641975,74.07407407407408,0
Steady Energy Oy,14.772727272727272,64.77272727272727,0
CEZ,19.31818181818182,67.04545454545455,0
GE Vernova,5.797101449275365,68.11594202898551,0
China National Nuclear Corporation (CNNC),21.951219512195124,78.04878048780488,0
DL Energy,7.317073170731707,68.29268292682927,0
TVA,14.285714285714285,71.42857142857143,0
Amentum,16.3265306122449,75.51020408163265,0
Thorizon,18.181818181818183,81.81818181818183,0
Energy Northwest,18.181818181818183,77.27272727272727,0
Hyundai Engineering and Construction Co,15.151515151515152,78.78787878787878,0
Ansaldo Nucleare,17.073170731707318,82.92682926829268,0
ONR,10.256410256410257,79.48717948717949,0
Idaho National Laboratory,10.81081081081081,72.97297297297297,0
Russia,13.157894736842103,76.31578947368422,0
Helen,19.444444444444443,75.0,0
Aecon,17.142857142857142,71.42857142857143,0
Fortum,8.571428571428571,74.28571428571429,0
Nuclear Industry Association,14.705882352941178,85.29411764705883,0
DOE,9.523809523809524,71.42857142857143,0
Orano,15.789473684210524,77.19298245614034,0
Hyundai E&C,12.5,81.25,0
ENEA,16.666666666666664,70.0,0
Holtec Britain,16.129032258064512,64.51612903225806,0
Kärnfull Next,22.58064516129032,70.96774193548387,0
Nuward,18.75,81.25,0
Rosatom,5.381165919282512,85.65022421524664,1
Westinghouse,1.282051282051281,74.1025641025641,1
Dow,4.878048780487805,85.36585365853658,1
Mott McDonald,0.0,88.23529411764706,1
Lloyd’s Register,-2.857142857142857,91.42857142857143,1
Doosan Enerbility,7.317073170731707,87.8048780487805,1
Urenco,0.0,72.72727272727273,1
Korea Hydro & Nuclear Power Corp,5.970149253731343,88.05970149253731,1
Last Energy,0.0,73.33333333333333,1
Amazon,6.976744186046512,79.06976744186046,1
AtkinsRéalis,5.263157894736842,81.57894736842105,1
BWXT,0.0,73.17073170731707,1
Kairos,1.1904761904761916,70.23809523809523,1
TerraPower,-3.370786516853933,74.15730337078652,1
Google,4.545454545454543,77.27272727272727,1
Framatome,2.816901408450703,83.09859154929578,1
Blue Energy,8.06451612903226,79.03225806451613,1
Meta,2.9411764705882364,85.29411764705883,1
Hitachi,-4.761904761904763,66.66666666666666,1
GE,-13.953488372093023,76.74418604651163,1
X-Energy,5.789473684210528,78.42105263157895,1
Cameco,0.0,80.64516129032258,1
GBE-N,-6.25,68.75,1
Centrica,6.451612903225806,93.54838709677419,1
Microsoft,3.225806451612904,70.96774193548387,1
Constellation,9.090909090909092,78.78787878787878,1
NRC,3.0303030303030294,78.78787878787878,1
Tractebel,-3.125,78.125,1
Oklo,0.0,71.42857142857143,1
Korea hydro and Nuclear Power (KHNP),7.216494845360824,78.35051546391753,1
NuScale,-12.037037037037036,79.62962962962963,1
EDF,1.2396694214876032,81.40495867768594,1
Great British Nuclear,24.637681159420293,63.76811594202898,2
Tennessee Valley Authority,26.470588235294116,61.76470588235294,2
Deep Fission,31.42857142857143,57.14285714285714,2
Studsvik,25.0,65.0,2
Samsung C&T,39.21568627450981,52.94117647058824,2
OSGE,24.44444444444444,57.77777777777777,2
Orlen-Synthos Green Energy,33.33333333333333,63.1578947368421,2
Fermi Energia,45.283018867924525,47.16981132075472,2
GE Vernova Hitachi,31.42857142857143,57.14285714285714,2
Norsk Kjernekraft,36.507936507936506,55.55555555555556,2
Vattenfall,15.277777777777779,56.94444444444444,2
GE-Hitachi,19.839142091152816,63.53887399463807,2
Blykalla,24.603174603174605,65.87301587301587,2
SGE,28.125,65.625,2
US Department of Energy,25.0,56.25,2
