company,SUPPORT,NEI,CONTRADICT
3M Company,,1.0,
A-Insinöörit Oy,,1.0,
A3D,,2.0,
AA Bochvar Research Institute of Inorganic Materials (VNIINM),,5.0,
"AB Rybalkin, Gortsunyan, Dyakin & Partners",,1.0,
ABB,,3.0,
ABEN,,1.0,
ABS,,3.0,
ABS Electro,1.0,,
ACC,,1.0,
ACU,,2.0,
ADCB,,1.0,
ADP,,1.0,
ADtranz,,1.0,
AEC,,1.0,
AECC,,3.0,
AECL,,12.0,
AECOM,,2.0,
AEM,,1.0,
AEM-Spetsstal,,3.0,
AEM-Technologies,4.0,11.0,
AEM-technologies Petrozavodskmash (part of Rosatom’s mechanical engineering division Atomenergomash),,1.0,
AEROSON Corporation,,1.0,
AFCEN,,1.0,
AFCONE,,2.0,
AFV Beltrame Group,,2.0,
AI Leipunsky Institute of Physics & Power Engineering (IPPE),,4.0,
AINS,,1.0,
AK,1.0,,
ALD Vacuum Technologies,,1.0,
AMG,,2.0,
AMG Critical Materials,,1.0,
ANDRA,,5.0,
ANL,,2.0,
ANSTO,,2.0,
ANVS,,5.0,
ANYbotics,,1.0,
AP Aleksandrov Scientific Research Technological Institute,,1.0,
AP1000,,3.0,1.0
APTIM,,2.0,
AQ Rate,,1.0,
ARAO,,1.0,
ARC,5.0,24.0,1.0
AREVA GmbH,,2.0,
AREVA NP SAS,,2.0,
ARMZ Uranium Holding Co,,1.0,
ARN,,4.0,
ARUP,,1.0,
ASE,2.0,3.0,
ASE JSC,6.0,7.0,1.0
ASN,1.0,8.0,
ATK Launch Systems,,1.0,
AWS,,1.0,
Aalborg,,1.0,
Abu Dhabi Commercial Bank,,1.0,
Accelerant Solutions,,2.0,
Accelerated Decommissioning Partners,,1.0,
Aecom Europe and India,,1.0,
Aecon,4.0,11.0,
Aecon Group,1.0,2.0,
Aerojet Rocketdyne,,1.0,
Agenda Global,,1.0,
Air Products,,1.0,
Airbus Defense and Space,,1.0,
Airswift,,,1.0
Akkuyu,,2.0,
Akkuyu NPP,,1.0,
Akkuyu Nuclear,2.0,2.0,
Akkuyu Nukleer JSC,5.0,33.0,
Akkuyu Nükleer Genel Merkezi,,1.0,
Alberta Innovates,1.0,2.0,
Alfa Laval,,2.0,
All-Russia Science Research and Design Institute of Power Engineering Technology (VNIPIET),,1.0,
All-Russian YI Zababakhin Scientific Research Institute of Technical Physics (VNIITF),,1.0,
Allegheny Electric,,1.0,
Alleima,1.0,,
AlleyCorp,,1.0,
"Alpha Safety Holdings, LLC",,1.0,
Alpiq,,1.0,
"Alsintec, ",,1.0,
Alstom,,1.0,
AltC,,2.0,
Altrad,,1.0,
Altrad Endel,,1.0,
Amazul,,,1.0
Amazônia Azul Tecnologias de Defesa (Amazul),,1.0,
Amcham,,1.0,
Amentum,1.0,6.0,
Amentum Environment & Energy,,1.0,
American Bureau of Shipping (ABS),,5.0,
American Centrifuge Operating (ACO),,7.0,
American Crane,,1.0,
American Institute of Physics (AIP),,1.0,
American Nuclear Society,,4.0,
American Nuscale,,1.0,
Amsted Graphite Materials,,4.0,
Analysis and Measurement Services Corporation,,1.0,
Andreessen Horowitz,,1.0,
Anglia Water,,2.0,
Angra NPP,,1.0,
Ansaldo,,1.0,
Ansaldo Energia,1.0,4.0,
Ansaldo Nucleare,1.0,27.0,1.0
Anton Paar,1.0,2.0,
Appalachian Power Company,,1.0,
Aptim-Amentum Alaska Decommissioning (A3D),,1.0,
Arabelle Solutions,,2.0,
Arbok-Nuclear,,1.0,
Arch Henderson,,1.0,
Ares,1.0,2.0,
Ares Acquisition Corporation,1.0,2.0,
Ares Management Corporation,1.0,2.0,
Areva,,8.0,1.0
"Areva (now part of Framatome, which developed the EPR)",,1.0,
Areva NP,,1.0,
Areva NP (now Framatome),,,1.0
Areva SA,,3.0,
Areva-Siemens,1.0,7.0,2.0
Areva-Siemens consortium,,1.0,
Argentine Neutron Beam Laboratory (LAHN),,1.0,
Argentinian Nuclear Regulatory Authority,,2.0,
Argo Engineering,,1.0,
Argonne,,2.0,
Argonne National Laboratory,,11.0,1.0
Ariane Group,,3.0,
Armenian NPP,,1.0,
Arthur D. Little,,1.0,
Asahi Shimbun,,1.0,
Asea Atom,,2.0,
Asociación Nuclear Ascó-Vandellós II (ANAV),,1.0,
Associated Electric Cooperative Inc.,,1.0,
Association of American Railroads (AAR),,1.0,
Association of Ghana Industries (AGI),,1.0,
Associazione Italiana Nucleare,,,1.0
Assystem,5.0,18.0,
Asterès,,1.0,
Astrobotic,,1.0,
At One Ventures,,1.0,
Atkins,5.0,6.0,
Atkins UK and Europe,,1.0,
AtkinsRéalis,,18.0,
Atlas,,1.0,
Atomenergomash,3.0,20.0,
Atomenergoproject,1.0,1.0,
Atomenergoremont JSC,,6.0,
Atomic Canyon,,2.0,
Atomic Energy Authority of China (CAEA),,1.0,
Atomic Energy Canada Ltd. (AECL),,2.0,
Atomic Energy of Canada Limited,3.0,8.0,2.0
Atomic Weapons Establishment,,1.0,
Atomics International,,1.0,
Atommash,1.0,7.0,
Atomproektengineering,,1.0,
Atomredmetzoloto JSC,,2.0,
Atomspetsservice,,1.0,
Atomstroyexport,3.0,19.0,
Atomtekhenergo JSC,,1.0,
Atos,,1.0,
Augean,,1.0,
Aura Energy,,1.0,
Austin Energy,,1.0,1.0
Australia’s Nuclear Science & Technology Organisation (ANSTO),,5.0,
Autorité de Sûreté Nucléaire (ASN),1.0,,
Axiom Space,,1.0,
Axpo,,1.0,
Axpo Holding AG,,2.0,
Axpo Power AG,,1.0,
B&W,,1.0,
BAA Plc,,1.0,
BAE Systems,,4.0,
BAKS,,1.0,
BAM Infra Netherlands,1.0,,
BARC,,1.0,
BESIX,,2.0,
BGE,,7.0,
BGE Technology GmbH,,1.0,
BGZ Gesellschaft für Zwischenstorage mbH,,1.0,
BHARATIYA NAHBIKIYA VIDYUT NIGAM LIMITED,,2.0,
BHAVINI,,2.0,
BHEL,,3.0,
BHP,,1.0,
BHR,,2.0,
BKM,,1.0,
BKW,,1.0,
BKW (formerly Bernische Kraftwerke),,1.0,
BKW Energie AG,,1.0,
BKW/FMB,,,1.0
BLF,,1.0,
BMWK,,1.0,
BN-1200M,,,1.0
BNDES,,3.0,
BNF Resources,1.0,,
BNFL,,5.0,2.0
BNFL Instruments LTD,,1.0,
BNL,,2.0,
BREST-OD-300,,,1.0
BRIN,,1.0,
BT Pension Scheme,,1.0,
BV,,1.0,
BWRX,,1.0,
BWXT,3.0,39.0,2.0
BWXT Advanced Technologies,1.0,3.0,
BWXT Canada Ltd,2.0,6.0,
BWXT Medical Ltd.,,2.0,
BWXTCANADA,1.0,,
Babcock,,4.0,
Babcock International group,2.0,3.0,
Babcock Power Inc.,,2.0,
Baker Hughes,,,1.0
Balfour,,1.0,
Balfour Beatty,1.0,12.0,1.0
Baltic Operator (Grupa Przemyslowa Baltic),,1.0,
Bam,,1.0,
Bam Nuttall,4.0,4.0,
Banco de la Provincia de Buenos Ares,1.0,,
Bangor University,,1.0,
Battelle Energy Alliance,2.0,6.0,
Battelle Memorial Institute,,1.0,1.0
Bauer Hungary Ltd.,,1.0,
Bauer Magyarország Kft,,1.0,
Bayer,,1.0,
Bayern Kapital,,1.0,
Bechtel,4.0,39.0,3.0
Bechtel Cavendish Nuclear Solutions,,1.0,
Bechtel Corporation,,1.0,
Bechtel National,,2.0,
Bel V,,2.0,
BelRAO,,1.0,
Belarus NPP,,2.0,
Belenergo,,2.0,
Belgian Nuclear Research Centre,,1.0,
Belledune Port Authority,,1.0,
Berkshire Hathaway,,1.0,
Betavolt,,1.0,
Bilfinger,,2.0,
Bilfinger Noell,,1.0,
Bilfinger Peters Engineering,,1.0,
Bilfinger Piping Technologies UK,,2.0,
Biomashinostroene AD,,1.0,
Bionomics,,1.0,
Black Hills Corporation,,1.0,
Bloom Energy,,2.0,
Bloom SK Fuel Cell,,1.0,
Blue Capsule,,2.0,
Blue Laser Fusion (BLF),,1.0,
Blue Origin,,2.0,
Blue Wave,,2.0,
Blue Wave AI Labs,,3.0,
Blykalla,1.0,4.0,
Boeing,,2.0,
Bohai Shipbuilding Industry Company,,1.0,
Boss Energy,,1.0,
Boston Dynamics,,4.0,
Bouygues TP,,1.0,
Bouygues Travaux Publics,,3.0,
Bpifrance,,2.0,
Branislav Strýček,,1.0,
Brazilian Navy,,1.0,
Breakthrough Project,,1.0,
Breheny Civil Engineering Ltd,,1.0,
Britain Remade,,1.0,
British Nuclear Fuels Limited,,3.0,
British Roll Royce,,1.0,
British Steel,,1.0,
Brookfield,,5.0,
Brookfield Asset Management,,1.0,
Brookfield Business Partners,,1.0,
Brookfield Renewable Partners,2.0,4.0,
Bruce C,,,1.0
Bruce Power,12.0,40.0,1.0
Bryden Wood,,3.0,
Budimex,,1.0,
Building Trades of Alberta,,1.0,
Bularmex-IK JSCo,,1.0,
Bulmachinery Enterprises Ltd,,1.0,
Bundesanstalt für Geowissenschaften und Rohstoffe,,1.0,
Bureau Veritas,,2.0,
Bureau Veritas Bulgaria,,1.0,
Burns & McDonnell,,2.0,
C&EN,,1.0,
C5 Capital,,3.0,
CAEA,,1.0,
CAMMESA,1.0,1.0,
CANDU Reactor division,,1.0,
CAREM,,1.0,
CASMR,,1.0,
CCC,,1.0,1.0
CCTE,,2.0,
CChEN,,1.0,
CDTN,,1.0,
CEA,1.0,12.0,
CEDyAT,,1.0,
CEI,,2.0,
CERCA,,2.0,2.0
CERCA Romans,,1.0,
CEZ,4.0,43.0,3.0
CEZ Group,,1.0,
CFPP LLC,,2.0,
CFS,,2.0,
CGN,2.0,13.0,
CGNPC Uranium Resources Company Limited,,1.0,
CGNPC-URC,,4.0,
CIC,,1.0,
CIMC Enric,,2.0,
CITON,,1.0,1.0
CJSC NPP Paks-II,,1.0,
CNCC,1.0,,
CNE Branch Cernavoda,,1.0,
CNEA,1.0,10.0,
CNEN,,3.0,
CNFC3G,,1.0,
CNLY,,1.0,
CNNC Overseas Limited,,1.0,
CNNC Zhejiang Energy Co Ltd,,1.0,
CNNC-Guodian Zhangzhou Energy Company,2.0,2.0,
CNNP,,1.0,
CNP,,1.0,
CNPE,,1.0,
CNSC,1.0,5.0,
CNSL,,2.0,
CNUC,,1.0,
CORE,,1.0,
CORE Energy Systems,,1.0,
CORE POWER,,12.0,
COVRA,,5.0,
COVVI,,2.0,
CPS Energy,,2.0,1.0
CRA,,1.0,1.0
CRL,,1.0,
CRM,,2.0,
CRM Group,,1.0,
CSI,1.0,,
CSIRO,,2.0,
CV-Rez,,3.0,
CVG,,3.0,
Caley Ocean Systems,,1.0,
California's Public Utility Commission,,1.0,
Cambridge Vacuum Engineering,,1.0,
Cameco,2.0,34.0,1.0
Cameco Corp,,1.0,
Cameco Corporation,1.0,2.0,
CanAtom,,1.0,
Canada Infrastructure Bank,,3.0,
Canada's Cameco,1.0,,
Canadian Commercial Corporation,,1.0,
Canadian National Energy Alliance (CNEA),,1.0,
Canadian Nuclear Association,,2.0,1.0
Canadian Nuclear Isotope Council (CNIC),,1.0,
Canadian Nuclear Laboratories,,18.0,1.0
Canadian Nuclear Laboratories (CNL),,15.0,
Canadian Nuclear Partners,,1.0,
Canadian Nuclear Safety Commission (CNSC),,9.0,
Candu Energy,2.0,16.0,
