company,Percentage of Verifiability,Percentage of NEI Claims,cluster
Rosatom,10.48109965635739,81.27147766323024,0
X-Energy,13.533834586466165,74.43609022556392,0
GE-Hitachi,7.741935483870966,72.90322580645162,0
Rolls-Royce SMR,8.823529411764705,67.64705882352942,0
GE-Hitachi Nuclear Energy,25.0,64.47368421052632,0
Ontario Power Generation,14.285714285714288,77.31092436974791,0
Bruce Power,20.754716981132077,75.47169811320755,0
Korea Hydro & Nuclear Power,11.594202898550725,82.6086956521739,0
Fortum,17.02127659574468,70.2127659574468,0
Orlen Sythnos Green Energy,22.500000000000004,67.5,0
ARC,13.33333333333333,80.0,0
Jacobs,16.129032258064516,77.41935483870968,0
Teollisuuden Voima Oyj (TVO),3.225806451612904,70.96774193548387,0
Dow,27.272727272727273,66.66666666666666,0
Great British Nuclear,8.57142857142857,80.0,0
Oklo,16.666666666666664,72.22222222222221,0
USNC,8.0,86.66666666666667,1
Rosenergoatom,2.666666666666666,78.66666666666666,1
Energoatom,-10.389610389610388,84.4155844155844,1
TerraPower,3.2608695652173916,83.69565217391305,1
Korea hydro and Nuclear Power (KHNP),3.174603174603174,87.3015873015873,1
Urenco,-3.389830508474577,93.22033898305084,1
China National Nuclear Corporation (CNNC),1.4492753623188408,89.85507246376811,1
Orano,2.8985507246376807,94.20289855072464,1
CEZ,2.0,86.0,1
Moltex,1.9230769230769216,78.84615384615384,1
TVEL,1.0526315789473673,86.31578947368422,1
Holtec,-0.7633587786259541,90.07633587786259,1
Framatome,-0.6493506493506498,91.55844155844156,1
Westinghouse,2.48868778280543,82.57918552036199,1
NuScale,1.0067114093959741,75.50335570469798,1
EDF,0.9118541033434653,81.45896656534954,1
Terrestrial Energy,6.25,81.25,1
Akkuyu Nukleer JSC,13.157894736842104,86.8421052631579,1
BWXT,2.2727272727272716,88.63636363636364,1
Nuclearelectrica,10.0,90.0,1
Doosan Enerbility,2.1739130434782608,89.13043478260869,1
Bechtel,2.1739130434782608,84.78260869565217,1
China National Nuclear Corporation,9.090909090909092,90.9090909090909,1
Cameco,2.7027027027027026,91.8918918918919,1
Georgia Power,-3.225806451612902,77.41935483870968,1
Vattenfall,0.0,81.25,1
Sellafield Ltd,-9.090909090909092,90.9090909090909,1
Tepco,-3.125,96.875,1
Tractebel,6.666666666666666,86.66666666666667,1
newcleo,46.93877551020408,48.97959183673469,2
