company,Percentage of Verifiability,Percentage of NEI Claims,cluster
Rosatom,10.48109965635739,81.27147766323024,0
NuScale,-0.33557046979865923,76.1744966442953,0
GE-Hitachi,7.096774193548388,74.83870967741936,0
Rolls-Royce SMR,5.882352941176473,70.58823529411765,0
X-Energy,12.781954887218044,75.18796992481202,0
Ontario Power Generation,14.285714285714288,77.31092436974791,0
Rosenergoatom,2.666666666666666,78.66666666666666,0
Korea Hydro & Nuclear Power,11.594202898550725,82.6086956521739,0
Moltex,1.9230769230769216,78.84615384615384,0
Akkuyu Nukleer JSC,13.157894736842104,86.8421052631579,0
Terrestrial Energy,6.25,81.25,0
ARC,13.33333333333333,80.0,0
Teollisuuden Voima Oyj (TVO),3.225806451612904,70.96774193548387,0
Jacobs,16.129032258064516,77.41935483870968,0
Great British Nuclear,11.428571428571427,77.14285714285715,0
Bruce Power,20.754716981132077,75.47169811320755,1
Orlen Sythnos Green Energy,22.500000000000004,67.5,1
Oklo,16.666666666666664,72.22222222222221,1
Dow,24.24242424242424,69.6969696969697,1
Fortum,17.02127659574468,70.2127659574468,1
GE-Hitachi Nuclear Energy,21.05263157894737,63.1578947368421,1
newcleo,38.775510204081634,57.14285714285714,1
USNC,8.0,86.66666666666667,2
Orano,2.8985507246376807,94.20289855072464,2
CEZ,2.0,86.0,2
Energoatom,-9.09090909090909,85.71428571428571,2
TVEL,1.0526315789473673,86.31578947368422,2
TerraPower,2.1739130434782608,84.78260869565217,2
Holtec,-2.290076335877862,90.07633587786259,2
Westinghouse,1.8099547511312215,82.80542986425338,2
EDF,0.3039513677811563,82.06686930091185,2
Framatome,-0.6493506493506498,91.55844155844156,2
Nuclearelectrica,10.0,90.0,2
BWXT,0.0,90.9090909090909,2
Doosan Enerbility,2.1739130434782608,89.13043478260869,2
Bechtel,2.1739130434782608,84.78260869565217,2
Korea hydro and Nuclear Power (KHNP),3.174603174603174,87.3015873015873,2
China National Nuclear Corporation (CNNC),1.4492753623188408,89.85507246376811,2
Urenco,-3.389830508474577,93.22033898305084,2
Cameco,2.7027027027027026,91.8918918918919,2
Vattenfall,0.0,81.25,2
Sellafield Ltd,-9.090909090909092,90.9090909090909,2
China National Nuclear Corporation,9.090909090909092,90.9090909090909,2
Tepco,-3.125,96.875,2
Georgia Power,-3.225806451612902,77.41935483870968,2
Tractebel,6.666666666666666,86.66666666666667,2
