Company,Merged with,Number of Claims Belonging to that Company Before Merge
Rolls-Royce,Rolls-Royce SMR,130
GE Hitachi,GE-Hitachi,65
GE Hitachi Nuclear Energy,GE-Hitachi Nuclear Energy,59
Westinghouse Electric Company,Westinghouse Electric Company UK,47
Korea Hydro & Nuclear Power (KHNP),Korea Hydro & Nuclear Power,36
Akkuyu Nukleer,Akkuyu Nukleer JSC,28
Ontario Power Generation (OPG),Ontario Power Generation,28
Rolls Royce,Rolls-Royce SMR,26
China National Nuclear Corporation,China National Nuclear Corporation (CNNC),25
Newcleo,newcleo,25
Synthos Green Energy,Orlen Sythnos Green Energy,21
ENEC,Enec,20
Nuscale,NuScale,18
Teollisuuden Voima Oyj,Teollisuuden Voima Oyj (TVO),16
Thorizon,Therizon,13
X-Energy,X-energy,12
Kinectrics,Kinectrics Inc,12
Centrus Energy Corp,Centrus Energy,11
Idaho National Laboratory,Idaho National Laboratory (INL),11
Tennessee Valley Authority,Tennessee Authority Valley,11
Orlen Synthos Green Energy,Orlen Sythnos Green Energy,11
Ultra Safe Nuclear Corporation (USNC),Ultra Safe Nuclear Corporation,10
ZE PAK,Ze Pak,10
Terrapower,TerraPower,10
JSC ASE,ASE JSC,10
Emirates Nuclear Energy Corporation (ENEC),Emirates Nuclear Energy Corporation (Enec),10
Kepco E&C,KEPCO E&C,9
Mitsubishi Heavy Industries,Mitsubishi Heavy Industries (MHI),9
TRISO-X,Triso-X,9
Core Power,CORE POWER,9
Canadian Nuclear Laboratories (CNL),Canadian Nuclear Laboratories,9
NASA,Nasa,8
X-Energy Reactor Company,X-energy Reactor Company,8
National Nuclear Laboratory (NNL),National Nuclear Laboratory,8
Slovenské Elektrárne,Slovenske Elektrarne,8
ARC Clean Technology Canada,ARC Clean Technology,8
US Department of Energy (DOE),US Department of Energy,8
GE Hitachi Nuclear Energy (GEH),GE-Hitachi Nuclear Energy,8
SCK-CEN,SCK CEN,7
KGHM Polska Miedź,KGHM Polska Miedz,7
Slovenské elektrárne,Slovenske Elektrarne,7
Sellafield,Sellafield Ltd,7
Nuclear Power Corporation of India Limited (NPCIL),Nuclear Power Corporation of India Ltd,7
Nikiet,NIKIET,7
Nuclear Power Corporation of India Ltd (NPCIL),Nuclear Power Corporation of India Ltd,7
NUKEM Technologies,SHINE Technologies,7
Rolls Royce SMR,Rolls-Royce SMR,6
China General Nuclear,China General Nuclear (CGN),6
Southern Co,Southern Company,6
ThorCon,Thorcon,6
Nuclear Decommissioning Authority,Nuclear Decommissioning Authority (NDA),6
Westinghouse Electric Sweden,Westinghouse Electric,6
OKBM Afrikantov,OKBM Africantov,6
BWX Technologies (BWXT),BWX Technologies,6
Japan Atomic Energy Agency,Japan Atomic Energy Agency (JAEA),6
China Huaneng,China Huaneng Group,6
US Nuclear Regulatory Commission (NRC),US Nuclear Regulatory Commission,6
BWXT Canada,BWXT Canada Ltd,5
NAAREA,Naarea,5
Los Alamos National Laboratory,Los Alamos National Labs,5
Kansai Electric Power Company,Kansai Electric Power Co,5
Tokyo Electric Power Company Holdings,Tokyo Electric Power Holdings (Tepco),5
American Centrifuge Operating,American Centrifuge Operating (ACO),5
Tokyo Electric Power Company Holdings (Tepco),Tokyo Electric Power Holdings (Tepco),5
Mitsubishi Heavy Industries Ltd,Mitsubishi Heavy Industries (MHI),5
Ansaldo Nuclear,Ansaldo Nucleare,5
Hyundai,HD Hyundai,5
Office for Nuclear Regulation (ONR),Office for Nuclear Regulation,4
Škoda JS,ŠKODA JS,4
Électricité de France,Électricité de France (EDF),4
Sellafield Ltd.,Sellafield Ltd,4
Municipal Electric Authority of Georgia,Municipal Electric Authority of Georgia (MEAG),4
Shanghai Nuclear Engineering Research & Design Institute (SNERDI),Shanghai Nuclear Engineering Research and Design Institute,4
TEPCO,Tepco,4
TRIGA International,Triga International,4
Electricite de France (EDF),Electricité de France,4
Andra,ANDRA,4
Akkuyu Nuclear JSC,Akkuyu Nukleer JSC,4
BAM Nuttall,Bam Nuttall,4
Tvel,TVEL,4
Atomic Energy of Canada Limited (AECL),Atomic Energy of Canada Limited,4
Utah Associated Municipal Power Systems,Utah Associated Municipal Power Systems (Uamps),4
Atomstroyexport JSC,Atomstroyexport,4
United Kingdom Atomic Energy Authority (UKAEA),UK Atomic Energy Authority (UKAEA),4
Atomic Energy of Canada Ltd.,Atomic Energy of Canada Limited,4
Nucleareurope,nucleareurope,4
Enea,ENEA,4
