company,Percentage of Verifiability,Percentage of NEI Claims,cluster
Rosatom,17.010309278350515,74.39862542955326,0
Westinghouse,8.3710407239819,77.14932126696833,0
EDF,9.11854103343465,73.86018237082067,0
NuScale,5.369127516778523,70.46979865771812,0
GE-Hitachi,14.838709677419354,72.25806451612902,0
Framatome,8.441558441558442,83.76623376623377,0
TVEL,4.2105263157894735,87.36842105263159,0
Holtec,3.0534351145038174,87.78625954198473,0
USNC,10.666666666666666,81.33333333333333,0
Rosenergoatom,9.333333333333334,72.0,0
TerraPower,13.043478260869565,78.26086956521739,0
Energoatom,0.0,81.81818181818183,0
Korea hydro and Nuclear Power (KHNP),11.11111111111111,82.53968253968253,0
Korea Hydro & Nuclear Power,17.391304347826086,73.91304347826086,0
China National Nuclear Corporation (CNNC),5.797101449275362,82.6086956521739,0
Orano,8.695652173913043,91.30434782608695,0
Akkuyu Nukleer JSC,13.157894736842104,86.8421052631579,0
Doosan Enerbility,13.043478260869566,82.6086956521739,0
Nuclearelectrica,15.0,80.0,0
BWXT,6.8181818181818175,93.18181818181817,0
Urenco,-1.694915254237289,91.52542372881356,0
Moltex,11.538461538461537,69.23076923076923,0
CEZ,10.0,78.0,0
Bechtel,8.695652173913043,86.95652173913044,0
Tepco,-3.125,96.875,0
Teollisuuden Voima Oyj (TVO),0.0,67.74193548387096,0
Georgia Power,0.0,74.19354838709677,0
ARC,16.666666666666668,76.66666666666667,0
China National Nuclear Corporation,21.21212121212121,78.78787878787878,0
Sellafield Ltd,-6.0606060606060606,93.93939393939394,0
Cameco,8.108108108108109,86.48648648648648,0
GE-Hitachi Nuclear Energy,36.8421052631579,57.89473684210527,1
Terrestrial Energy,21.875,65.625,1
Vattenfall,31.25,56.25,1
Fortum,27.659574468085104,68.08510638297872,1
Bruce Power,32.07547169811321,64.15094339622641,1
X-Energy,24.81203007518797,64.66165413533834,1
Rolls-Royce SMR,14.70588235294118,62.745098039215684,1
Ontario Power Generation,21.84873949579832,71.42857142857143,1
Oklo,22.22222222222222,66.66666666666666,1
Jacobs,19.354838709677416,74.19354838709677,1
Tractebel,26.666666666666668,66.66666666666666,1
Great British Nuclear,22.857142857142854,65.71428571428571,1
Dow,36.36363636363636,57.57575757575758,1
Orlen Sythnos Green Energy,42.5,52.5,2
newcleo,57.14285714285714,42.857142857142854,2
