claim,company,chunk,label
"Spot the robot dog was deployed onto Sellafield, the UK’s largest nuclear site, it was used to collect data and facilitate waste planning.",,"Sellafield, the UK’s largest nuclear site and the focus of its nuclear decommissioning efforts, is making increasing use of robots. Spot the robot dog made its debut on the Sellafield site in October 2021 with three days of successful trials and a shift within an active area. Sellafield’s remediation teams are leading Spot’s deployment for Sellafield Ltd, working with Cumbria-based engineering consultant Createc, the UK Atomic Energy Authority (UKAEA) and its US manufacturers Boston Dynamics. Valuable information was collected through laser scanning and gamma radiation imaging using a system provided by Createc. The robot completed its work wearing a suit specially designed and manufactured at the UKAEA which protected it from any radioactive contamination. Chris Hope, remediation capability development manager, Sellafield Ltd said: “This was a really challenging task – we deployed Spot into a complex, cluttered, highly contaminated area with a mission to capture information. The quality of the data we captured is fantastic and will help us with our decommissioning and waste planning.” He added: “Until now, this type of survey has relied on our operators manually deploying equipment in hazardous environments wearing full protective equipment. This proves that Spot can help us take humans away from harm. This allows us to free up our workers to deliver other value adding work. The protective suit did its job too – the robot was monitored and cleared by our health physics team, and was able to leave the Sellafield site.” Elsewhere in the UK, this year saw Dounreay Site Restoration Ltd (DSRL) begin working with the Robotics and Artificial Intelligence in Nuclear (RAIN) Hub to develop a second-generation robot called Lyra. It includes a package of surveying measures including LIDAR, multiple angle cameras, radiation probes and the ability to take swabs using the manipulator arm.",SUPPORT
GBN should order multiple units of the small modular reactor technology selected by them,Great British Nuclear (GBN),"Report says best option is mix of large reactors and SMRs Politicians have called on the UK government to make Wylfa in north Wales the site for the country’s next commercial nuclear power station as part of a 24 GW new nuclear programme. The All-Party Parliamentary Group on Nuclear Energy, a group of cross-party MPs and Peers, argues in a report published on Friday (17 November) that if the government chooses to pursue further large-scale reactors, then it should back Wylfa as the next project and start negotiating as soon as possible to determine which reactor technology is best placed to deliver a project at the site: the UK EPR, AP-1000 or APR-1400.    They also urged the government to maximise the domestic content of the programme as part of efforts to rebuild the UK’s heavy industrial capabilities.  Great British Nuclear (GBN), the government body launched earlier this year to help deliver a nuclear new build programme, should set contract conditions that require the use of British supply chains, the report says. The report, Made in Britain: The Pathway to a Nuclear Renaissance, calls on the government to order multiple units of the small modular reactor (SMR)  technology selected by GBN. This would justify UK companies investing in capabilities such as the fabrication of reactor pressure vessels, which the UK last did 40 years ago.  This would mean even foreign SMR designs are effectively made by British industry, helping to “breathe new life” into Britain’s industrial heartlands and creating high-quality jobs.  The report recommends the UK emulate the pathway adopted by other countries, such as France and South Korea, with the latter going from zero nuclear capacity in the 1970s to 24 GW today. To achieve that the country ordered several foreign reactors, standardised the design best suited to them, developed their capability to make critical components, and built multi-unit projects to capture the benefits of replication.",SUPPORT
Westinghouse’s AP300 small modular reactor (SMR) is undergoing certification in the US with an expected completion date of 2027.,Westinghouse Electric Company,"Country has ambitious targets for nuclear power, including both large-scale reactors and smaller units US-based Westinghouse Electric Company and Ukraine’s state-run nuclear utility Energoatom, have signed a memorandum of understanding for the development and deployment of Westinghouse’s AP300 small modular reactor (SMR), with the first units potentially going online within a decade. The agreement establishes a joint working group to collaborate on areas such as contracting, licensing and the local supply chain. Ukraine, despite continuing conflict with Russia, is pursuing the carbon neutrality of its energy sector by 2050 and plans to develop nuclear generation in the form of large-scale reactors such as Westinghouse’s AP1000 and advanced SMR plants including the AP300. Nuclear is part of Kyiv’s energy strategy until 2050. Energoatom said construction of АР1000s in Ukraine would “open the way to the future of the country’s nuclear energy industry”. In August 2021, Energoatom and Westinghouse signed a memorandum on the construction of five power units in Ukraine using AP1000 technology. The two companies later signed further agreements related to increasing the number of units to be built in Ukraine using AP1000 technology from five to nine, although not all would be at Khmelnitski. Durham also said at the time that Ukraine had expressed interest in integrating Westinghouse’s AP300 small modular reactor alongside AP1000 units. Westinghouse unveiled its “game-changing” mid-sized AP300 nuclear power plant in May, saying it could be under construction at a cost of $1bn per unit by the end of the decade. The plant is a scaled-down version of the AP1000. The AP300 SMR is undergoing certification in the US with an expected completion date of 2027.",SUPPORT
The adoption of nuclear energy has been slower than the growth rates anticipated in some pathways to net zero.,,"He argued that the “1.5C degree goal is on life support – and the machines are rattling. We are getting dangerously close to the point of no return”. The UN said Cop27 is taking place against the backdrop of inadequate ambition to curb greenhouse gas emissions.  According to the UN’s Intergovernmental Panel on Climate Change (IPCC), CO2 emissions need to be cut 45% by 2030, compared to 2010 levels to meet the central Paris Agreement goal of limiting temperature rise to 1.5°C by the end of this century.  This is crucial to avoid the worst impacts of climate change, including more frequent and severe droughts, heatwaves and rainfall. A report published by UN Climate Change ahead of Cop27 shows that whilst countries are “bending the curve of global greenhouse gas emissions downwards”, efforts remain insufficient to limit global temperature rise to 1.5°C by the end of the century. Since Cop26 in Glasgow, Scotland, only 29 out of 194 countries came forward with tightened national plans. An IPCC report earlier this year
labelled nuclear as a low-carbon source and said nuclear generation grew 9% between 2015 and 2019 and accounted for 10% of total generation in 2019.  But it warned that the adoption of nuclear energy has been slower than the growth rates anticipated in some pathways to net zero. The contribution of nuclear could be enhanced by a new generation of reactors including small modular reactors, the IPCC said. The report quoted researchers who concluded that lower emissions sources of energy, including nuclear, renewables, and some biofuels, could be essential in all pathways. Guterres said the US and China have a particular responsibility to help reduce emissions. Courtesy UN.",SUPPORT
Rosatom expects commercial operation of the Shelf-M micro reactor plant to begin by 2030.,Rosatom,"Proposed micro reactor to support gold mining in Chukotka Russian state-owned nuclear corporation Rosatom has signed an agreement with the far east Chukotka autonomous district for the proposed deployment of a land-based nuclear power plant using micro reactor technology. Rosatom said that the agreement covers intentions and organisational details related to the project which will aim to supply mining around the Savoye gold deposit and nearby settlements. The planned nuclear power station will use the Shelf-M micro reactor technology with design electric output of 10 MW and thermal output of 35 MW, said Rosatom. The reactor design is expected to be completed by 2024, said the company, while commercial operation of the plant is earmarked to begin by 2030. Russia currently operates three 12-MW light water graphite reactor units at Bilibino in Chukotka, which have been supporting mining operations since the mid-1970s.  The country also has the world’s first floating nuclear power station, the Akademik Lomonosov, docked at Pevek in Chukotka. It has two 32-MW KLT-40S small reactor units in operation. In April 2023, Russia’s regulator issued
a construction permit for a land-based small modular reactor (SMR) in Yakutia, which will have a single RITM-200N unit with a proposed capacity of at least 55 MW. A mockup of the proposed 10-MW Shelf-M micro reactor design. Image courtesy Rosatom.",SUPPORT
"Naarea aims to produce power and heat, as close as possible to industrial companies, to relieve the grid.",Naarea,"Company designing its eXtra Generation IV nuclear power plant Naarea, a three-year-old Paris-based nuclear startup, is looking to raise €150m ($164m) as it seeks to develop a small modular reactor that could be deployed from the start of the next decade.  The company, which has already raised €50m from companies including Eren Groupe, which develops and invests in energy plants, and €10m from the government, is reaching out to venture capital, industrial and institutional investors, and sovereign wealth funds for a Series A funding round with the help of Rothschild & Co, co-founder Jean-Luc Alexandre said in an interview in Paris Friday.  Alexandre hopes to close the fundraising in the first quarter next year.  Naarea, which stands for Nuclear Abundant Affordable Resourceful Energy for All, is designing its eXtra small modular reactor, or XAMR, which will combine Generation IV molten salt and fast neutron reactor technology.  XAMR’s output will vary between 1 MW and 40 MW. It will be powered by material recycled from spent nuclear fuel. The company has said its project can help close the conventional fuel cycle.  The reactor is expected to be flexible in operation going from minimum to maximum power output “in seconds”, allowing it to adapt to local demand. Referring to US-based SMR developer NuScale’s recent cancellation of a reactor project in Idaho, Alexandre said: “NuScale isn’t dead, and still has projects.” He said the French startup, which employs 175 people, has a different business model and is developing another technology. Naarea aims “to produce power and heat, as close as possible to industrial companies, to relieve the grid”. Naarea said earlier this year that a first prototype reactor is to be produced in 2027 and a manufacturing plant and serial production is to begin by 2030.",SUPPORT
NuScale's SMR became the first and only design so far to receive approval from the US Nuclear Regulatory Commission.,NuScale,"Power from the CFPP will be distributed among Uamps’ members that are participating in the project. The first module is scheduled to be operational in 2029 to meet Uamps’ timeline for replacing aging assets. In November 2022, press reports in the US said higher steel prices and interest rates were driving up the projected cost of energy from the planned CFPP. Previous cost estimates were for the project to generate power at a price of $58/MWh, but at least one municipal power provider was reported to have said project developers told it that prices could run $90/MWh to $100/MWh. NuScale said its Voygr SMR power plant remains a competitive source of reliable, affordable and carbon-free power for customers. In August 2020, NuScale’s SMR became the first and only design so far to receive approval from the US Nuclear Regulatory Commission. Voygr is a light-water reactor plant intended to supply energy for electrical generation, district heating, desalination, and process heat applications. It features a fully factory fabricated NuScale power module. In January NuScale completed the submission of a standard design approval application to the NRC for its updated SMR design. It also signed a contract with Romania’s RoPower for front-end engineering and design work, marking a significant step towards the deployment of a Voygr SMR power plant in Romania. NuScale says building its SMRs at retiring fossil fuel and coal plant sites means workers can be cross-trained and millions of dollars saved. Mockup courtesy NuScale.",SUPPORT
"Innovation in nuclear technologies is a very dynamic space, particularly for nuclear power technologies such as small modular reactors.",,"“We need to facilitate access to nuclear energy for those lagging behind, we have a lot of work to do on financing internationally and nationally,” he said. The IAEA has said that although they have relatively low and stable operating costs, nuclear power plant projects can be a challenge, considering that capital costs are high and usually combined with very large project sizes. This means that the scale of financing required for even a single project is substantial. The IAEA said the financing of nuclear power projects has become more challenging in the last three decades with nuclear operators exposed to price and demand risk, which increases the overall risk of new projects and the difficulty of obtaining financing.  “To encourage nuclear development despite these difficulties, innovative approaches to financing and support policies are being pursued, including partial investment or loan guarantees from the government,” the IAEA said. Von der Leyen called for discipline from the nuclear power industry, saying the future of nuclear depends on its ability to deliver on time and on budget.  “Far too often, the realisation of nuclear power plants has resulted in significant additional costs and overruns,” she said.  Another task is to look at new opportunities for nuclear such as providing decarbonised heat or clean hydrogen. These can help cut emissions from industry, which will be critical to reaching climate goals.  Von der Leyen backed life extensions for existing nuclear plants. She said countries need to consider their options carefully before they forego a readily available source of low emission electricity.  “The final task is to innovate,” Von der Leyen said. “Innovation in nuclear technologies is a very dynamic space, particularly for nuclear power technologies such as small modular reactors.” She said: “Small modular reactors are a promising technology and there is a race underway. The race is among leading countries and companies to prove this technology and bring it to the market.” ",SUPPORT
"Small modular reactors (SMRs) have the clear potential to be easier to build, deploy and operate.",,"NEA head says policies pale in contrast to scale and significance of challenge A dramatic shift is needed if the world is to meet decarbonisation targets with the nuclear industry nowhere near on track to install enough new capacity, the head of the Nuclear Energy Agency said. NEA analysis shows that global installed nuclear energy capacity must triple by 2050 in order for the world to reach net zero. Asked if the industry on track to meet this target, the agency’s director-general William Magwood said: “I’m afraid not”. Magwood said there has been a significantly increased seriousness in the effort to decarbonise the global economy, but the policies of most countries pale in contrast to the scale and significance of the change needed to reach net zero by 2050. Nuclear capacity is likely to increase but unless policies, markets and incentives shift very quickly to align with stated goals, it is “unlikely that we will see that tripling”.   Correspondingly, it is also unlikely that the world will meet its carbon reduction goals. “We are already far behind where we should be and unless there is dramatic shift, it is very difficult to see how decarbonisation targets will be reached,” Magwood said. In recent years, a number of governments and policymakers have introduced, reintroduced or increased nuclear power strategies into their energy policies. One of the reasons for this is the advent of new reactor technologies that have the clear potential to be easier to build, deploy and operate.  Small modular reactors (SMRs) and Generation IV technologies have captured the attention of many policymakers who hope these designs offer the prospect of nuclear capacity that can fit in many varied economic and societal contexts.",SUPPORT
NuScale has a contract with Standard Power that is capable of supporting contracts of this size.,NuScale,"Law firm has announced investigation of potential claims on behalf of shareholders A “misleading” research report about US small modular reactor developer NuScale Power has “no basis in fact” and should litigation begin based on the report NuScale will “vigorously defend itself”, the company told NucNet. Portland, Oregon-based NuScale said the report, published by Iceberg Research on 19 October, contains inaccurate and deceptive “research” that is riddled with speculative statements with no basis in fact and demonstrates a limited understanding of SMRs and the nuclear power industry.  The company, owned by Fluor Corporation and listed on the New York Stock Exchange, said factually inaccurate statements include and are not limited to NuScale’s former chief financial officer’s equity holdings and NuScale’s sources of income, which are principally revenues from customers.  NuScale cautioned investors “not to rely on this baseless and self-interested attack designed solely to drive down the company’s stock price”. On 23 October, Rosen Law Firm, an investor rights law firm, announced an investigation of potential securities claims on behalf of shareholders of NuScale Power Corporation resulting from “allegations that NuScale may have issued materially misleading business information to the investing public”. NuScale issued a statement on 24 October in response to the report.  Diane Hughes, NuScale’s vice-president of marketing and communications told NucNet by email on 10 November: “Should Rosen initiate litigation based on the Iceberg report the Company will vigorously defend itself.” One of the central claims made by Iceberg Research and Rosen Law Firm is that a NuScale contract with blockchain data centre service provider Standard Power “has zero chance of being executed as Standard Power clearly does not have the means to support contracts of this size”.",CONTRADICT
