company,Total Labels,cluster
Ultra Safe Nuclear Corporation,44.0,0
China National Nuclear Corporation,48.0,0
TerraPower,50.0,0
TVEL,53.0,0
Ontario Power Generation,55.0,0
Holtec,59.0,0
Korea hydro and Nuclear Power (KHNP),59.0,0
X-Energy,64.0,0
CEZ,24.0,0
Canadian Nuclear Laboratories (CNL),25.0,0
Bechtel,27.0,0
Moltex,27.0,0
Urenco,29.0,0
Bruce Power,30.0,0
Orano,33.0,0
BWXT,35.0,0
Fortum,23.0,0
Idaho National Laboratory,23.0,0
newcleo,23.0,0
Doosan Enerbility,22.0,0
Southern Company,20.0,0
Orlen Synthos Green Energy,20.0,0
US Department of Energy (DOE),20.0,0
Hungarian Atomic Energy Authority,19.0,0
ENEC,16.0,0
Terrestrial Energy,16.0,0
ARC,16.0,0
Akkuyu Nukleer,16.0,0
Atomenergomash,16.0,0
Georgia Power,17.0,0
Oklo,18.0,0
Ansaldo Nucleare,18.0,0
SNC-Lavalin,15.0,0
Slovenské Elektrárne,15.0,0
Nuclearelectrica,16.0,0
Vattenfall,16.0,0
Teollisuuden Voima Oyj (TVO),15.0,0
Norsk Kjernekraft,15.0,0
Kansai Electric Power Co,15.0,0
Sellafield Ltd,15.0,0
Fermi Energia,16.0,0
Great British Nuclear,16.0,0
Rosatom,300.0,1
EDF,177.0,1
Westinghouse,227.0,1
GE-Hitachi,135.0,2
Rolls-Royce,108.0,2
Framatome,79.0,2
NuScale,145.0,2
Energoatom,87.0,2
