company,Percentage of Verifiability,Percentage of NEI Claims,cluster
NuScale Power,5.1359516616314185,74.32024169184291,0
Rosatom,10.031347962382446,78.0564263322884,0
Westinghouse,3.4042553191489358,77.02127659574468,0
Centrus Energy Corp,17.977528089887638,75.28089887640449,0
GE-Hitachi,-0.8264462809917354,74.3801652892562,0
National Nuclear Security Administration,14.492753623188404,82.6086956521739,0
Rolls-Royce,0.0,60.0,0
Framatome,4.705882352941176,81.17647058823529,0
Ultra Safe Nuclear Corporation,12.903225806451614,74.19354838709677,0
BWXT,13.793103448275861,86.20689655172413,0
Doosan Enerbility,0.0,76.92307692307693,0
CEZ,8.0,84.0,0
ARC Canada,15.625,78.125,0
National Nuclear Laboratory,11.904761904761903,83.33333333333334,0
Nuclearelectrica,17.391304347826086,82.6086956521739,0
Fortum,16.0,68.0,0
OPG,0.0,70.0,0
CNNC,15.0,85.0,0
V/O Izotop JSC,20.0,80.0,0
Oklo,5.0,75.0,0
USNC,10.0,80.0,0
TEPCO,9.090909090909092,72.72727272727273,0
Cameco,11.111111111111109,77.77777777777779,0
SNC-Lavalin,20.0,80.0,0
UK,6.666666666666667,93.33333333333333,1
Samsung C&T Corporation,2.0,86.0,1
TerraPower,0.0,88.67924528301887,1
Holtec Britain,-7.4074074074074066,77.77777777777779,1
TVEL,7.272727272727272,85.45454545454545,1
Austin Energy,6.666666666666668,85.33333333333334,1
EDF,-2.1739130434782616,79.34782608695652,1
Energoatom,-3.370786516853931,78.65168539325843,1
Sellafield Ltd,-10.526315789473683,89.47368421052632,1
Canadian Nuclear Laboratories (CNL),0.0,100.0,1
IP Group,10.344827586206897,89.65517241379311,1
Holtec International,-3.8461538461538463,88.46153846153845,1
State Council of China,-2.5641025641025648,87.17948717948718,1
Urenco,3.030303030303031,84.84848484848484,1
Bechtel,9.67741935483871,90.32258064516128,1
KHNP,-3.703703703703704,81.48148148148148,1
Orano,9.523809523809524,90.47619047619048,1
Hyundai Engineering,7.142857142857142,88.09523809523809,1
STP Nuclear Operating Company,-4.3478260869565215,95.65217391304348,1
First Light Co. Ltd,0.0,91.30434782608695,1
Ansaldo Nucleare,0.0,90.0,1
Nova Power & Gas,4.545454545454546,86.36363636363636,1
Research Institute for Atomic Reactors,0.0,89.47368421052632,1
Kepco,9.090909090909092,90.9090909090909,1
Bruce Power,32.25806451612903,67.74193548387096,2
newcleo,30.43478260869565,60.86956521739131,2
