company,Total Labels,cluster
Energoatom,77.0,0
GE-Hitachi Nuclear Energy,76.0,0
USNC,75.0,0
Rosenergoatom,75.0,0
TVEL,95.0,0
TerraPower,92.0,0
Fortum,47.0,0
newcleo,49.0,0
CEZ,50.0,0
Moltex,52.0,0
Bruce Power,53.0,0
Urenco,59.0,0
Korea hydro and Nuclear Power (KHNP),63.0,0
Korea Hydro & Nuclear Power,69.0,0
China National Nuclear Corporation (CNNC),69.0,0
Orano,69.0,0
BWXT,44.0,0
Orlen Sythnos Green Energy,40.0,0
Doosan Enerbility,46.0,0
Bechtel,46.0,0
Nuclearelectrica,40.0,0
Akkuyu Nukleer JSC,38.0,0
Teollisuuden Voima Oyj (TVO),31.0,0
Tepco,32.0,0
Terrestrial Energy,32.0,0
Vattenfall,32.0,0
Sellafield Ltd,33.0,0
China National Nuclear Corporation,33.0,0
Dow,33.0,0
Great British Nuclear,35.0,0
Oklo,36.0,0
Cameco,37.0,0
Tractebel,30.0,0
ARC,30.0,0
Jacobs,31.0,0
Georgia Power,31.0,0
Rosatom,582.0,1
Westinghouse,442.0,1
EDF,329.0,1
Ontario Power Generation,119.0,2
NuScale,298.0,2
X-Energy,133.0,2
GE-Hitachi,155.0,2
Rolls-Royce SMR,204.0,2
Holtec,131.0,2
Framatome,154.0,2
