company,Percentage of Verifiability,Percentage of NEI Claims,cluster
X-Energy,28.333333333333332,68.33333333333333,0
Ontario Power Generation,18.181818181818183,70.9090909090909,0
Bruce Power,30.0,70.0,0
EDF,-2.259887005649718,78.53107344632768,1
Framatome,3.7974683544303796,81.0126582278481,1
GE-Hitachi,8.148148148148149,75.55555555555556,1
Korea hydro and Nuclear Power (KHNP),8.47457627118644,74.57627118644068,1
Rosatom,10.999999999999998,77.66666666666666,1
TerraPower,0.0,88.0,1
China National Nuclear Corporation,14.583333333333334,85.41666666666666,1
Holtec,-8.474576271186443,88.13559322033898,1
TVEL,7.547169811320756,84.90566037735849,1
Rosenergoatom,-6.382978723404255,80.85106382978722,1
Ultra Safe Nuclear Corporation,11.363636363636363,79.54545454545455,1
Energoatom,0.0,75.0,1
Westinghouse,3.5242290748898686,76.2114537444934,1
BWXT,11.428571428571429,88.57142857142857,1
Orano,9.090909090909092,90.9090909090909,1
NuScale,-2.0689655172413772,66.20689655172414,2
Rolls-Royce,-0.9259259259259274,58.333333333333336,2
