company,Percentage of Verifiability,Percentage of NEI Claims,cluster
Rosatom,10.48109965635739,80.9278350515464,0
X-Energy,12.781954887218044,75.18796992481202,0
GE-Hitachi,7.09677419354839,73.54838709677419,0
Rolls-Royce SMR,8.333333333333334,69.11764705882352,0
GE-Hitachi Nuclear Energy,22.368421052631582,64.47368421052632,0
Ontario Power Generation,13.445378151260506,76.47058823529412,0
Bruce Power,20.754716981132077,75.47169811320755,0
Korea Hydro & Nuclear Power,10.144927536231885,81.15942028985508,0
Fortum,17.02127659574468,70.2127659574468,0
Orlen Sythnos Green Energy,22.500000000000004,67.5,0
ARC,13.33333333333333,80.0,0
Jacobs,16.129032258064516,77.41935483870968,0
Teollisuuden Voima Oyj (TVO),3.225806451612904,70.96774193548387,0
Dow,27.272727272727273,66.66666666666666,0
Great British Nuclear,11.428571428571427,77.14285714285715,0
Oklo,16.666666666666664,72.22222222222221,0
Ultra Safe Nuclear Corporation,8.0,86.66666666666667,1
Rosenergoatom,2.666666666666666,78.66666666666666,1
Energoatom,-10.389610389610388,84.4155844155844,1
TerraPower,2.1739130434782608,84.78260869565217,1
Korea hydro and Nuclear Power (KHNP),3.174603174603174,87.3015873015873,1
Urenco,-3.389830508474577,93.22033898305084,1
China National Nuclear Corporation (CNNC),0.0,88.40579710144928,1
Orano,2.8985507246376807,94.20289855072464,1
CEZ,2.0,86.0,1
Moltex,1.9230769230769216,78.84615384615384,1
TVEL,1.0526315789473673,86.31578947368422,1
Holtec,-1.5267175572519083,89.31297709923665,1
Framatome,-0.6493506493506498,91.55844155844156,1
Westinghouse,2.262443438914028,82.80542986425338,1
NuScale,0.0,76.51006711409396,1
EDF,1.519756838905776,80.85106382978722,1
Terrestrial Energy,6.25,81.25,1
Akkuyu Nukleer JSC,13.157894736842104,86.8421052631579,1
BWXT,2.2727272727272716,88.63636363636364,1
Nuclearelectrica,10.0,90.0,1
Doosan Enerbility,2.1739130434782608,89.13043478260869,1
Bechtel,2.1739130434782608,84.78260869565217,1
China National Nuclear Corporation,9.090909090909092,90.9090909090909,1
Cameco,2.7027027027027026,91.8918918918919,1
Georgia Power,-3.225806451612902,77.41935483870968,1
Vattenfall,3.125,78.125,1
Sellafield Ltd,-9.090909090909092,90.9090909090909,1
Tepco,-3.125,96.875,1
Tractebel,6.666666666666666,86.66666666666667,1
newcleo,46.93877551020408,48.97959183673469,2
